"Category","Hombre","Mujer","Indeterminado"
"CUERNAVACA",17,4,0
"JIUTEPEC",16,0,0
"XOCHITEPEC",7,1,0
"TEMIXCO",7,5,0
"AMACUZAC",5,0,0
"TEPOZTLÁN",4,0,0
"CUAUTLA",4,1,0
"EMILIANO ZAPATA",4,1,0
"MAZATEPEC",3,0,0
"TLALTIZAPÁN",3,0,0
"SE DESCONOCE",3,0,0
"SIN MUNICIPIO DE REFERENCIA",2,0,0
"PUENTE DE IXTLA",2,0,0
"TLAQUILTENANGO",2,0,0
"YAUTEPEC",2,1,0
"HUITZILAC",1,0,0
"JOJUTLA",1,0,0
"MIACATLÁN",1,0,0
"JANTETELCO",0,2,0
"AYALA",0,1,0
