"Category","Hombre","Mujer","Indeterminado"
"1.CIFRA SIN  AÑO DE REFERENCIA",27,7,1
"1974",1,0,0
"1976",2,0,0
"1983",1,0,0
"1987",2,0,0
"2002",1,0,0
"2003",1,0,0
"2009",3,2,0
"2010",10,7,0
"2011",5,3,0
"2012",7,3,0
"2013",39,6,0
"2014",14,11,0
"2015",27,38,0
"2016",83,52,0
"2017",67,43,0
"2018",25,37,0
"2019",16,5,0
"2020",82,45,0
